Time (Sec);S14;S16;S21;S4;S5;S6;S10;S11;S13;S15;S2;S26;S27;S28;S31;S32;S8;
3.1829485352891207;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.904451;19159.97622;19159.97622;19159.976693599998;19159.908239799992;19159.976693599998;19160.0;19160.0;19159.97622;
3.1831085352891204;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.904451;19159.97622;19159.97622;19159.976693599998;19159.90809679999;19159.976693599998;19160.0;19160.0;19159.97622;
3.191697750455142;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.904307999997;19159.97622;19159.97622;19159.976693599998;19159.90809679999;19159.976693599998;19160.0;19160.0;19159.97622;
4.009970903692249;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.904307999997;19159.97612;19159.97622;19159.976693599998;19159.90809679999;19159.976693599998;19160.0;19160.0;19159.97622;
4.009977308718527;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.904307999997;19159.97612;19159.97612;19159.976693599998;19159.90809679999;19159.976693599998;19160.0;19160.0;19159.97622;
4.009978062770436;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976593599997;19159.9757464;19159.904307999997;19159.97612;19159.97612;19159.976693599998;19159.90809679999;19159.976693599998;19160.0;19160.0;19159.97622;
4.009984254854057;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976593599997;19159.9757464;19159.904307999997;19159.97612;19159.97612;19159.976693599998;19159.90809679999;19159.976693599998;19160.0;19160.0;19159.97612;
4.009993583050253;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976593599997;19159.9756464;19159.904307999997;19159.97612;19159.97612;19159.976693599998;19159.90809679999;19159.976693599998;19160.0;19160.0;19159.97612;
4.009993646059856;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976593599997;19159.9756464;19159.904307999997;19159.97612;19159.97612;19159.976693599998;19159.90809679999;19159.976593599997;19160.0;19160.0;19159.97612;
4.010003162132765;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.999799999998;19159.976593599997;19159.9756464;19159.904307999997;19159.97612;19159.97612;19159.976693599998;19159.90809679999;19159.976593599997;19160.0;19160.0;19159.97612;
4.0100143169785625;19160.0;19160.0;19160.0;19160.0;19159.999799999998;19159.999799999998;19159.976593599997;19159.9756464;19159.904307999997;19159.97612;19159.97612;19159.976693599998;19159.90809679999;19159.976593599997;19160.0;19160.0;19159.97612;
4.01002579150979;19160.0;19160.0;19160.0;19160.0;19159.999799999998;19159.999799999998;19159.976593599997;19159.9756464;19159.904307999997;19159.97612;19159.97612;19159.976593599997;19159.90809679999;19159.976593599997;19160.0;19160.0;19159.97612;
4.183089846501924;19160.0;19160.0;19160.0;19160.0;19159.999799999998;19159.999799999998;19159.976593599997;19159.9756464;19159.904307999997;19159.97612;19159.97612;19159.976593599997;19159.90799679999;19159.976593599997;19160.0;19160.0;19159.97612;
4.183089846501924;19160.0;19160.0;19160.0;19160.0;19159.999799999998;19159.999799999998;19159.976593599997;19159.9756464;19159.904307999997;19159.97612;19159.97612;19159.976593599997;19159.88526399999;19159.976593599997;19160.0;19160.0;19159.97612;
4.191635001172039;19160.0;19160.0;19160.0;19160.0;19159.999799999998;19159.999799999998;19159.976593599997;19159.9756464;19159.904207999996;19159.97612;19159.97612;19159.976593599997;19159.88526399999;19159.976593599997;19160.0;19160.0;19159.97612;
4.191635001172039;19160.0;19160.0;19160.0;19160.0;19159.999799999998;19159.999799999998;19159.976593599997;19159.9756464;19159.880527999998;19159.97612;19159.97612;19159.976593599997;19159.88526399999;19159.976593599997;19160.0;19160.0;19159.97612;
4.2287111798352575;19160.0;19160.0;19160.0;19160.0;19159.999799999998;19159.999799999998;19159.976593599997;19159.9756464;19159.880527999998;19159.97612;19159.97612;19159.976593599997;19159.88526399999;19159.976593599997;19160.0;19160.0;19159.97612;
4.228871179835258;19160.0;19160.0;19160.0;19160.0;19159.999799999998;19159.999799999998;19159.976593599997;19159.9756464;19159.880527999998;19159.97612;19159.97612;19159.976593599997;19159.88512099999;19159.976593599997;19160.0;19160.0;19159.97612;
